Transaction ID,Transaction Time,Block Time,Sender ID,Receiver ID,Receiver Type,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Gas Price,Gas Limit,Gas Used,Gas Predicted,Balance In,Balance Out,Label,Risk Level
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x54b5ae5ebe86d2d86134f3bb7e36e7c83295cbcb,,188656.8277,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,erc20,188144.4985,4.20E-07,12000000,8400925,,,,1,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x54b5ae5ebe86d2d86134f3bb7e36e7c83295cbcb,,25000000,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,erc20,24889032.72,4.20E-07,12000000,8400925,,,,1,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x54b5ae5ebe86d2d86134f3bb7e36e7c83295cbcb,,50000000,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,erc20,50077624.35,4.20E-07,12000000,8400925,,,,1,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x0000000000000000000000000000000000000000,,184533.9455,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,erc20,,4.20E-07,12000000,8400925,,,,0,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x0000000000000000000000000000000000000000,,39780072.58,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,erc20,,4.20E-07,12000000,8400925,,,,0,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x3269598ff3a3574b5bbc584a44770b7216443092,,8038690.75,bUSDT,0x3ec4a6cfe803ee84009ce6e1ecf419c9cb1e8af0,erc20,,4.20E-07,12000000,8400925,,,,0,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x2100ea3ea0ad2d579a5bbf701f9021250d6c96b8,,15495158.09,bUSDC,0x8d702f8c5304c9d233a8a23fd3a22155e15bb357,erc20,,4.20E-07,12000000,8400925,,,,0,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0xdebf20617708857ebe4f679508e7b7863a8a8eee,,29887667.49,aDAI,0x028171bca77440897b824ca71d1c56cac55b68a3,erc20,30036102.7,4.20E-07,12000000,8400925,,,,0,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x3ec4a6cfe803ee84009ce6e1ecf419c9cb1e8af0,,4200000,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,erc20,4181357.496,4.20E-07,12000000,8400925,,,,0,
0x82f95242963ac274d63e78234cb71c156f3135c32037e7e5b4424a6043da2a9a,,2021-02-08 20:13:41  +0000,0x0b83e38ac400cf993f8f39b16e6f3f0591f2f276,0x8d702f8c5304c9d233a8a23fd3a22155e15bb357,,7800000,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,erc20,7812109.399,4.20E-07,12000000,8400925,,,,0,
