Transaction ID,Transaction Time,Block Time,Sender ID,Receiver ID,Receiver Type,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Gas Price,Gas Limit,Gas Used,Gas Predicted,Balance In,Balance Out,Label,Risk Level
0x7f5e2a383e1b73ec65ab5a80a8a55b41a7f6874a304530802dcebc5deb03dea2,,2020-12-03 21:53:44  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,1.06E-05,UNI-V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,erc20,0.000234,6.00E-08,56792,41450,,,,1,
0xaf2ebd397f74434f5bd1bdb3ab25590c894cd7cc9dd18899b9097806ceb5d0b8,,2020-12-03 21:31:16  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0x4c707bb4f65899f35f9f465e0d0b9895f7a71fd4,,50.92393535,UNI-V2,0x16924a18f8af685ed0308d5d7f19831b5e4ebd4f,erc20,1122.45,6.00E-08,209200,105267,,,,0,
0x335cbb0b500902653916a865659f30a412e319cd515c583e9fdc187f58179de1,,2020-12-03 21:53:44  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,50.92393535,UNI-V2,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,erc20,1122.45,6.00E-08,56792,41450,,,,1,
0x8110369b5671f98936f67356dacc554f3f00fe60caa027ea1027858b12f03d60,,2020-12-03 21:27:46  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0x4c707bb4f65899f35f9f465e0d0b9895f7a71fd4,,8.25830768,UNI-V2,0xd17077e4300e515a6cbc830568ff413858f7aba7,erc20,182.03,2.20E-08,209200,105267,,,,0,
0x6d822f7ed75ac524f055b1d76db7edea0f2774ff65df06f2ffde005e0f33f56b,,2020-12-03 21:36:15  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0x4c707bb4f65899f35f9f465e0d0b9895f7a71fd4,,0.07636091,UNI-V2,0x3cf2bf78487882abc2fd775645bcda8c8c4935f0,erc20,1.6831,3.90E-08,209200,105267,,,,0,
0x304d2f7a987cdea1468c70fc9f6fa4a0404184c4b8adb2b8ed4f5507c04f72ba,,2020-12-03 21:56:02  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,0,UNI-V2,0xd3d2e2692501a5c9ca623199d38826e513033a17,erc20,0,4.40E-08,33050,33050,,,,1,
0xf72504a0f6ed11ab0b5da91710e2a302755ce36a17a126bfd49cd7bb41dfaf00,,2020-12-03 21:28:37  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0x4c707bb4f65899f35f9f465e0d0b9895f7a71fd4,,4.80E-05,UNI-V2,0x2dfb25326f277a670e1f48ae2c9c6282a324966a,erc20,0.001058,6.00E-08,209200,105267,,,,0,
0xe6543f5b2725354ead24844f941e53cc8324903caf418450b4cb6765e03c5aea,,2020-12-03 21:55:01  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,5.368375595,UNI-V2,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,erc20,118.33,4.10E-08,56792,41450,,,,1,
0x76c5d54979a753a07b13a7f5861fd742b07dcac499957dcefaf7d00ea3104847,,2020-12-03 21:55:16  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,2.02982686,UNI-V2,0xcffdded873554f362ac02f8fb1f02e5ada10516f,erc20,44.74,4.10E-08,56792,41450,,,,1,
0xc96689b66ee8a9d1566e50886bab7bd6187a1a8256fbd653fca000f6085aedcd,,2020-12-03 21:55:51  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,8.25830768,UNI-V2,0x43ae24960e5534731fc831386c07755a2dc33d47,erc20,182.03,4.40E-08,56792,41450,,,,1,
0xc0980cf4baa88b5b70d15319747b8e968ad392f7adf2f67e2fd3e188d3494398,,2020-12-03 21:45:15  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0x4c707bb4f65899f35f9f465e0d0b9895f7a71fd4,,2.02982686,UNI-V2,0x10ef0796a4bb0676ffe5791c974f708e7f53b721,erc20,44.74,6.00E-08,209200,105267,,,,0,
0x5b19f1e334697646c855a17d909f141f2a64ded4f2db4944a0aa8fcae848c592,,2020-12-03 21:41:09  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0x4c707bb4f65899f35f9f465e0d0b9895f7a71fd4,,1.85E-06,UNI-V2,0xfea765ccaa7cd03ab9ef0f68038de89d19d66a9c,erc20,0.00004078,6.00E-08,209200,105267,,,,0,
0x886f97750d0cc76115551b75855f99f5e262cfc0e2b176ca32107e63b006be41,,2020-12-03 21:53:16  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,0.07636091,UNI-V2,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,erc20,1.6831,6.00E-08,56792,41450,,,,1,
0xf55ea9d6a57be4fcc4b073e79fa9ccff16c58e96e34b45f84b207aed1a457529,,2020-12-03 21:54:57  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,1.85E-06,UNI-V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,erc20,0.00004078,4.10E-08,56792,41450,,,,1,
0xfd2bf93210816917a010560a0e32040c15de03c7b5e46f4a45bd06bbe689a101,,2020-12-03 21:53:39  +0000,0x3add35896899e7f95158d8aad6e86e0dd13f415d,0xed91f0fd040e9cc4b05e839f77d221f5b915ba85,,4.80E-05,UNI-V2,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,erc20,0.001058,6.00E-08,56792,41450,,,,1,
