Transaction ID,Transaction Time,Block Time,Sender ID,Receiver ID,Receiver Type,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Gas Price,Gas Limit,Gas Used,Gas Predicted,Balance In,Balance Out,Label,Risk Level
0x22f7636b105b0fce91b8b9cb62ef109aadf7d2d90b6ef8009e72e1254f0c6fe7,,2022-05-06 13:04:49 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x05a7446e4198597b971bb3fe46d6734b379748f6,Wallet,0.118838248,ETH,0x0000000000000000000000000000000000000000,,327.2729967,4.140277037e-08,21000.0,21000,,,,0,
0x97940a7b926a39019059bdcc51993ef1b3b0bdbef640b3ceef6e9a75ef97bf4c,,2022-05-05 12:13:41 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x443499e2e83ec4c4f756e9fb087b005278dacff2,Wallet,0.037273149,ETH,0x0000000000000000000000000000000000000000,,109.6595542,1.0972473207700001e-07,21000.0,21000,,,,0,
0xad36acdbd02669e118536caa3a69dc7d19717bbff081199486c77eb8ab3ca2c5,,2022-05-05 12:05:52 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x443499e2e83ec4c4f756e9fb087b005278dacff2,Wallet,300.0,GAL,0x5faa989af96af85384b8a938c2ede4a7378d9875,ERC20,4704.759461,1.02080953208e-07,77311.0,46741,,,,0,
0xab5ebeed8e207298a76eeb24258c39fdd09bbafb38183d5331b879aec279ecb7,,2022-03-19 17:23:08 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x58890ad320b9b8e83e97193ef12cd97777356fa9,Wallet,0.099930774,ETH,0x0000000000000000000000000000000000000000,,294.3706688,2.0945006861000003e-08,21000.0,21000,,,,0,
0x0e6df928b24e116ff261d0b6b5b47778384b014dc3c7611d8ca7fb877536abf3,,2022-02-10 03:03:43 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x38c2e5dea6f489ccfd9f29c67aca97b6b2b26b37,Wallet,0.88489288,ETH,0x0000000000000000000000000000000000000000,,2867.867957,8.470076138e-08,21000.0,21000,,,,0,
0xc786a5c8c3de530a748e28aa3e83078868d81f98510283109c4b8c2ee6b26c93,,2022-02-10 02:22:29 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x6666666666666666666666666666666666666666,Wallet,953.590334,DEGO,0x88ef27e69108b2633f8e1c184cc37940a075cc02,ERC20,3770.002723,6.663761311400001e-08,140344.0,88763,,,,0,
0xc786a5c8c3de530a748e28aa3e83078868d81f98510283109c4b8c2ee6b26c93,,2022-02-10 02:22:29 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0xea6dec98e137a87f78495a8386f7a137408f7722,Wallet,953.590334,DEGO,0x88ef27e69108b2633f8e1c184cc37940a075cc02,ERC20,3770.002723,6.663761311400001e-08,140344.0,88763,,,,0,
0xc786a5c8c3de530a748e28aa3e83078868d81f98510283109c4b8c2ee6b26c93,,2022-02-10 02:22:29 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x38c2e5dea6f489ccfd9f29c67aca97b6b2b26b37,Wallet,951683.1533,DEGO,0x88ef27e69108b2633f8e1c184cc37940a075cc02,ERC20,3762462.718,6.663761311400001e-08,140344.0,88763,,,,0,
0x786870cc46024a632beb49516052ca9bb45ce27819c59e5329cdc0e3e8e95527,,2022-02-09 23:33:18 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x118203b0f2a3ef9e749d871c8fef5e5e55ef5c91,Wallet,441.825628,yvWETH,0xa258c4606ca8206d8aa700ce2143d7db854d168c,ERC20,1369659.447,5.6574130404000003e-08,82432.0,49713,,,,1,
0x73529e7f15d7fd56c1906db2de09dc5707fe069f8b2a9b6812d102f02bb50995,,2022-02-09 23:30:31 +0000,0x20fe4b1ed95911487499e53355bb8f14a881d735,0x118203b0f2a3ef9e749d871c8fef5e5e55ef5c91,Wallet,378.7579581,ETH,0x0000000000000000000000000000000000000000,,1184542.071,8.666638229e-08,21000.0,21000,,,,1,
