Transaction ID,Transaction Time,Block Time,Sender ID,Receiver ID,Receiver Type,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Gas Price,Gas Limit,Gas Used,Gas Predicted,Balance In,Balance Out,Label,Risk Level
0xa5c1dca8ca458af454d00a10ee991bf073a931d8f48defd619cb95be40c72b1d,,2020-04-19 23:53:28  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,250,imBTC,0x3212b29e33587a00fb1c83346f5dbfa69a458923,erc20,5899.701869,6.66E-09,360000,79471,,,,1,
0xde2c82a5deaa8882b37e25adb0885a2c2a4e5230b9e29bef5de8587e4fd697c4,,2020-04-19 03:32:49  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,1000.192961,BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53,erc20,999.5295695,1.01E-08,68315,52341,,,,1,
0x6016aaf6e1560e15d7e9f5948168b9495654cd04d838f82e364a6c4ad0255eb4,,2020-04-19 02:28:00  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,1.34000032,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,erc20,9540.407977,3.00E-08,81169,50771,,,,1,
0x6016aaf6e1560e15d7e9f5948168b9495654cd04d838f82e364a6c4ad0255eb4,,2020-04-19 02:28:00  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,200,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,erc20,34291.28329,3.00E-08,81169,50771,,,,1,
0x813fc75fc7e86624c8c21d598f3c1c1b87e7d4cf796ed2f5ea6de2ff1062baa2,,2020-04-19 02:22:46  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,92592.09632,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,erc20,92573.20071,2.00E-08,68196,52227,,,,1,
0x327c8fa467172f9fc623a781d684ecae4bd4d79f7df7bfbfc8de1038a93b3451,,2020-04-19 02:20:34  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,225225.4547,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,erc20,226553.2326,2.00E-08,64023,48579,,,,1,
0x0a64bad8e7aef7505ba2ddd8949532ab2eadfde128c64b149f41047708a4195f,,2020-04-19 02:18:12  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,29469.30354,CHAI,0x06af07097c9eeb7fd685c692751d5c66db49c215,erc20,30153.86,3.20E-08,58534,43157,,,,1,
0x922c6ff47f11d41ed2b878d02d1e00b31077cec1c684dc6ec7c0d085cc472079,,2020-04-19 02:17:27  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0xa9bf70a420d364e923c74448d9d817d3f2a77822,,54959.02134,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,erc20,9423076.85,2.00E-08,58316,42943,,,,1,
0x2101276893be9aef459c28b52b3622719e18545d2cdaf46d9ac87fea27aa4725,,2020-04-19 02:12:11  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,,1.00E-08,imBTC,0x3212b29e33587a00fb1c83346f5dbfa69a458923,erc20,2.36E-07,4.01E-08,911007,767469,,,,0,
0x2101276893be9aef459c28b52b3622719e18545d2cdaf46d9ac87fea27aa4725,,2020-04-19 02:12:11  +0000,0x538359785a8d5ab1a741a0ba94f26a800759d91d,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,,250,imBTC,0x3212b29e33587a00fb1c83346f5dbfa69a458923,erc20,5899.701868,4.01E-08,911007,767469,,,,0,
