Transaction ID,Transaction Time,Block Time,Sender ID,Receiver ID,Receiver Type,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Gas Price,Gas Limit,Gas Used,Gas Predicted,Balance In,Balance Out,Label,Risk Level
0xf57707443ba49faba0c330c0e3489156336fe759d48119b50871206897f04e79,,2022-08-01 20:47:53  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,360000,DAWN,0x580c8520deda0a441522aeae0f9f7a5f29629afa,erc20,337882.442,4.49E-08,210000,74459,,,,0,
0x7097e2152606f34ad9dffd01e505505adf0d18baf0a79d30dc18ec58ff46ab1d,,2022-08-01 21:01:29  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,240000,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,erc20,229561.6249,4.76E-08,210000,49437,,,,0,
0xc677788a94b813eb1819fd4b6d12d80140cdc9bdfe3f6dee8bc6eb33ac1edf64,,2022-08-01 21:12:11  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,43800,LEO,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,erc20,219093.4689,3.08E-08,211032,140688,,,,0,
0x327578652b167ef29cbd845ee6de8565bc426dc5f2eb9c3e9b6a85f7d99e59b6,,2022-08-01 21:53:07  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,10000,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,erc20,10003.05443,1.77E-08,94813,58409,,,,0,
0x44d11dbf93fd0f630bdf21dc5e08fa57bdc8a526e3440679c9e9e65e50f01b80,,2022-08-01 21:28:38  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,118600,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,erc20,86818.39581,2.32E-08,77445,46830,,,,0,
0x0bf8e68ae9c2c89f753b3bf87948cca80fd34a50a1296f5c8b56ea4956715c5f,,2022-08-01 21:27:54  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,650000,CHZ,0x3506424f91fd33084466f402d5d97f05f8e3b4af,erc20,90639.0441,2.26E-08,81532,49555,,,,0,
0x81a6e68e2c23ce8706f417fcb9ed3e08c0d52e6e2bbd788977e16b86e78b83b6,,2022-08-02 00:52:51  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,30,ETH,0x0000000000000000000000000000000000000000,,49080.55669,1.04E-08,21000,21000,,,,0,
0x70a84ce7c59697cf7a3c61466ec3d219468f18a0da2973eca79a39035baa5771,,2022-08-01 21:26:07  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,134000,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,erc20,133987.108,2.25E-08,99244,60825,,,,0,
0x97eb1a0af420f08c82c3c1ae44f3884af8105873a93fbba08dd9d65e915f201e,,2022-08-01 21:15:09  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,86000,DYDX,0x92d6c1e31e14520e676a687f0a93788b716beff5,erc20,192907.1415,2.30E-08,331123,215949,,,,0,
0x787995c525698b3fb97fdb5b952c7ed8df112b80ee2fc5ce40d2cf984af8b8e1,,2022-08-01 21:29:53  +0000,0xe019d99f9fe03dc5661ad4bb19f9db88d9fa0a62,0x67c67b5a3c4009cf849f86be37e79db3923f1055,,5200,AXS,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,erc20,88758.97117,2.40E-08,77443,46829,,,,0,
