Transaction ID,Transaction Time,Block Time,Sender ID,Receiver ID,Receiver Type,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Gas Price,Gas Limit,Gas Used,Gas Predicted,Balance In,Balance Out,Label,Risk Level
0xa7a601f6faa91bbc68d32c9bfeb0fc385b13ac1db24bea4b3048586412b13ddb,,2022-06-16 08:50:53 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Token,0.722293,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,794.0605968,3.59E-08,36027,30416,,,,0,
0x8e9bf0980aafc941b0454e9b14a8ba4e64dcff3349db650adf2242aa409218f3,,2022-05-11 08:23:53 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0xfbbe90dd04250b5e789ed9d1bfba2476e524a852,Wallet,0.005,ETH,0x0000000000000000000000000000000000000000,,11.72398858,8.09E-08,21000,21000,,,,0,
0x124f2cd4a7cfbfa0742a1e8386a49120d7de81c46c82f74fd9eb0d6b4ec0c753,,2022-04-28 07:31:50 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0x88a69b4e698a4b090df6cf5bd7b2d47325ad30a3,Smart Contract,1273.275054,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,1271.145345,2.92E-08,500000,257121,,,,0,
0xfa76ef9b1e7cde8149baa401cfcb87ccd87dc747c0da5ce63dd39f3dd71841bd,,2022-04-04 08:44:56 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0xfbbe90dd04250b5e789ed9d1bfba2476e524a852,Wallet,0.017187988,ETH,0x0000000000000000000000000000000000000000,,60.52895599,4.77E-08,21000,21000,,,,0,
0x26e62fa42b09aa6f7fc7952577c6cd31bce827a550887af01ce20f6ab3ac9ad4,,2022-03-28 06:24:03 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0x7ea2be2df7ba6e54b1a9c70676f668455e329d29,Token,7200,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,7200.666833,2.16E-08,108331,86665,,,,0,
0x26e62fa42b09aa6f7fc7952577c6cd31bce827a550887af01ce20f6ab3ac9ad4,,2022-03-28 06:24:03 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0x0000000000000000000000000000000000000000,Token,7200,anyUSDC,0x7ea2be2df7ba6e54b1a9c70676f668455e329d29,ERC20,,2.16E-08,108331,86665,,,,0,
0x8f7eba67fbaa0a59f6cde28589f57991ea447da8c78cb682ca6255fdcd7e68ba,,2022-02-21 16:54:12 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0x2fce9b92a64c1ddf14a1a9e5ec6d4e4c7c9f4fdd,Smart Contract,0.075,ETH,0x0000000000000000000000000000000000000000,,197.4368549,1.01E-07,330000,215537,,,,0,
0x11a0d2ae0304bbeeaa41902bbe4dac4413395f003a62b094ee8dbd6a576c0b5e,,2022-02-20 20:21:57 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,Smart Contract,0.0002964,ETH,0x0000000000000000000000000000000000000000,,0.820723198,6.28E-08,400000,259502,,,,0,
0x11a0d2ae0304bbeeaa41902bbe4dac4413395f003a62b094ee8dbd6a576c0b5e,,2022-02-20 20:21:57 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,Smart Contract,7.26293697,Metis,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,ERC20,770.9769703,6.28E-08,400000,259502,,,,0,
0xc8f508af3bd8dc697de7ae910652ff6386ba7b7377033d7efc184db0e9c2ef06,,2022-02-20 20:10:13 +0000,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,0xdef1c0ded9bec7f1a1670819833240f027b25eff,DEX,0.3,ETH,0x0000000000000000000000000000000000000000,,830.6914956,3.49E-08,149490,120653,,,,0,
