,true_negative,false_negative,false_positive,true_positive,train set,file_name,Attack_Type
0,40,0,0,1,train set,FakeHack137001.csv,Phishing
1,84,0,0,1,train set,FakeHeroTokenSale005.csv,Phishing
2,93,0,0,1,train set,FakeAVA Token Sale001.csv,Phishing
3,154,0,0,1,train set,FakeHeroTokenSale006.csv,Phishing
4,529,0,0,2,train set,Bancor001.csv,Other
5,36,0,0,1,train set,FakeHeroTokenSale003.csv,Phishing
6,62,0,0,1,train set,FakeHeroTokenSale001.csv,Phishing
7,19280,0,0,25,train set,DragonEx001.csv,Rug pull
8,21029,0,0,3,train set,Coinrail001.csv,Access control
9,10494,0,0,5,train set,Cryptopia002.csv,Access control
10,1138,0,0,104,train set,POKeFARM001.csv,Rug pull
11,2069,0,0,11,train set,FakePhishing2753001.csv,Phishing
12,17522,0,0,111,train set,Coinbene001.csv,Access control
13,113,0,0,1,train set,RibbonFinance001.csv,Phishing
14,25,0,0,2,train set,FakeDfinityTokenSale001.csv,Phishing
15,17,0,0,6,train set,FakePhishing4287001.csv,Phishing
16,24999,0,0,1,train set,Upbit001.csv,Access control
17,1977,0,0,2,train set,Tomatos002.csv,Rug pull
18,23519,0,0,54,train set,Eterbase001.csv,Access control
19,1661,0,0,1,train set,Zenith005.csv,Rug pull
20,114,0,0,4,train set,Balancer Labs001.csv,Flash Loan Attack
21,14727,0,0,1,train set,CompounderFinance008.csv,Rug pull
22,24,0,0,14,train set,Opyn001.csv,Other
23,10562,0,0,1,train set,Cream_Finance007.csv,Flashloan
24,5513,0,0,1,train set,Cream_Finance009.csv,Flashloan
25,168,0,0,2,train set,DistX001.csv,Rug pull
26,291,0,0,1,train set,Cream_Finance011.csv,Flashloan
27,59,0,0,2,train set,DEGO001.csv,Access control
28,12,0,0,11,train set,Tomatos001.csv,Rug pull
29,133,0,0,8,train set,UniCat.csv,Rug pull
30,22981,0,0,6,train set,SashimiSwap001.csv,Flashloan
31,6109,0,0,14,train set,Unidark001.csv,Rug pull
32,206,0,0,1,train set,Zenith001.csv,Rug pull
33,1298,0,0,1,train set,HarmonyBridge002.csv,Access control
34,8636,0,0,9,train set,HarmonyBridge001.csv,Access control
35,105,0,0,1,train set,Zenith002.csv,Rug pull
36,239,0,0,1,train set,Cream_Finance002.csv,Flashloan
37,22,0,0,4,train set,Santa DAO001.csv,Rug pull
38,622,0,0,1,train set,Curve_Finance005.csv,Phishing
39,43,0,0,2,train set,SynLev001.csv,Rug pull
40,495,0,0,1,train set,Cream_Finance005.csv,Flashloan
41,73,0,0,1,train set,Akropolis001.csv,Flash Loan Attack
42,35,0,0,1,train set,CompounderFinance006.csv,Rug pull
43,27,0,0,1,train set,CompounderFinance004.csv,Rug pull
44,1026,0,0,3,train set,EthereumYiled001.csv,Abandoned
45,41,0,0,1,train set,CompounderFinance007.csv,Rug pull
46,2,0,0,1,train set,CompounderFinance005.csv,Rug pull
47,11,0,0,11,train set,CoinSWOP001.csv,Rug pull
48,15,0,0,3,train set,dxHub001.csv,Rug pull
49,12853,0,0,81,train set,IndexFinance001.csv,Flashloan
50,1488,0,0,2,train set,EthereumYiled002.csv,Abandoned
51,3,0,0,2,train set,RBaseFinance002.csv,Rug pull
52,13,0,0,2,train set,RBaseFinance001.csv,Rug pull
53,32,0,0,3,train set,Reflation001.csv,Rug pull
54,6539,0,0,1,train set,Unicrypt001.csv,Rug pull
55,49,0,0,1,train set,Warp002.csv,Flashloan
56,48,0,0,3,train set,SynLev002.csv,Rug pull
57,215,0,0,1,train set,Focus001.csv,Rug pull
58,1700,0,0,1,train set,Bifrost001.csv,Other
59,7660,0,0,1,train set,HarmonyBridge003.csv,Access control
60,482,0,0,1,train set,Cream_Finance001.csv,Flashloan
61,8,0,0,3,train set,Bt.Finance001.csv,Flashloan
62,24778,0,0,54,train set,Liquid001.csv,Access control
63,15,0,0,10,train set,Armor001.csv,Other
64,141,0,0,4,train set,0xhabitat001.csv,Phishing
65,693,0,0,6,train set,ChainSwap001.csv,Other
66,216,0,0,1,train set,Cream_Finance004.csv,Flashloan
67,153,0,0,1,train set,Cream_Finance003.csv,Flashloan
68,972,0,0,35,train set,Umbrella001.csv,Other
69,55,0,0,1,train set,Lympo001.csv,Access control
70,272,0,0,1,train set,FakePhishing3187001.csv,Phishing
71,23698,0,0,297,train set,Bilaxy001.csv,Access control
72,21223,0,0,10,train set,Poly_Network001.csv,Other
73,3731,0,0,5,train set,BadgerDAO002.csv,Other
74,4,0,0,1,train set,Audius.csv,Other
75,243,0,0,7,train set,ChainSwap002.csv,Other
76,23,0,0,3,train set,XToken001.csv,Flashloan
77,93,0,0,1,train set,BadgerDAO001.csv,Other
78,365,0,0,15,train set,ChainSwap006.csv,Other
79,29,0,0,1,train set,Cream_Finance010.csv,Flashloan
80,22140,0,0,1,train set,AnySwap001.csv,Access control
81,18899,0,0,8,train set,THORChain001.csv,Other
