Transaction ID,Transaction Time,Sender ID,Receiver ID,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Receiver Type,Label
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0xa5407eae9ba41422680e2e00537571bcc53efbfd,15000000,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,14985177.6,DEX,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,14800272.15,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,ERC20,14390279.71,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,9657586.884,saddleUSD-V2,0x5f86558387293b6009d7896a61fcc86c17808d62,ERC20,,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,14800272.15,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,ERC20,14390279.71,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,9669749.439,saddleUSD-V2,0x5f86558387293b6009d7896a61fcc86c17808d62,ERC20,,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,5000000,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,ERC20,4861491.588,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,10000000,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,ERC20,9722983.176,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,4654333.077,saddleUSD-V2,0x5f86558387293b6009d7896a61fcc86c17808d62,ERC20,,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,10000000,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,ERC20,9722983.176,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,4661615.014,saddleUSD-V2,0x5f86558387293b6009d7896a61fcc86c17808d62,ERC20,,Smart Contract,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0x0000000000000000000000000000000000000000,5016537.097,saddleUSD-V2,0x5f86558387293b6009d7896a61fcc86c17808d62,ERC20,,Token,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0xa5407eae9ba41422680e2e00537571bcc53efbfd,20088354.29,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,ERC20,19531873.08,DEX,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0xa5407eae9ba41422680e2e00537571bcc53efbfd,1810723.456,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,ERC20,1812852.964,DEX,0
0x2b023d65485c4bb68d781960c2196588d03b871dc9eb1c054f596b7ca6f7da56,2022-04-30 07:40:24 +0000,0x7336f819775b1d31ea472681d70ce7a903482191,0xa5407eae9ba41422680e2e00537571bcc53efbfd,1530488.976,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,ERC20,1533318.317,DEX,0
