Transaction ID,Transaction Time,Sender ID,Receiver ID,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Receiver Type,Label
0x6cdb55d1da6f745731b86c97457504b2e7607b4ef6e428305fa34f31480b3ef8,2021-11-11 23:49:22 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x83884ec924d43b6c6d1c52d7b6a57ce4121a4a53,1.00E+14,fVUSD-23,0x2914e8c1c2c54e5335dc9554551438c59373e807,ERC20,,Smart Contract,0
0x26994278eaf104885ea37e717f42b29c8305869523015d3ce59b1fc3c05bacc6,2021-11-11 02:33:41 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x29aa2ed8712072e918632259780e587698ef58df,2.10E+15,fVUSD-23,0x2914e8c1c2c54e5335dc9554551438c59373e807,ERC20,,Wallet,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0xa3f447feb0b2bddc50a44ccd6f412a5f98619264,725.6737743,ETH,0x0000000000000000000000000000000000000000,,3142568.85,Wallet,1
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x0000000000000000000000000000000000000000,165472.2891,vVSP,0xba4cfe5741b357fa371b506e5db0774abfecf8fc,ERC20,1590508.867,Token,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x132eeb05d5cb6829bd34f552cde0b6b708ef5014,168368.3239,VSP,0x1b40183efb4dd766f11bda7a7c3ad8982e998421,ERC20,1187166.19,DEX,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x3a5dbafbac514a0b40dcdf3bc3ff7763da9d2d37,84184.16195,VSP,0x1b40183efb4dd766f11bda7a7c3ad8982e998421,ERC20,593583.0949,DEX,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,13.89660734,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ERC20,875339.7639,DEX,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x60594a405d53811d3bc4766596efd80fd545a270,676329.255,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,ERC20,676895.0239,DEX,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x03a86da24f980cfeace0898883db181c74be9c13,17282572.6,SPC,0x86ed939b500e121c0c5f493f399084db596dad20,ERC20,478447.6875,DEX,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,141345.8591,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,141465.0177,DEX,0
0x70d6ff9fcccb190fe49c9b364b7aeb69873a68fcf7aa81626a47f7c68019bc7d,2021-11-02 14:04:10 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,683.6306333,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,3146959.639,Token,0
0x8527fea51233974a431c92c4d3c58dee118b05a3140a04e0f95147df9faf8092,2021-11-02 14:02:45 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x2914e8c1c2c54e5335dc9554551438c59373e807,222404.5299,VUSD,0x677ddbd918637e5f2c79e164d402454de7da8619,ERC20,236915.63,Token,0
0x89d0ae4dc1743598a540c4e33917efdce24338723b0fabf34813b79cb0ecf4c5,2021-11-02 13:59:59 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,56.81818182,ETH,0x0000000000000000000000000000000000000000,,246054.1563,Token,0
0x89d0ae4dc1743598a540c4e33917efdce24338723b0fabf34813b79cb0ecf4c5,2021-11-02 13:59:59 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,56.81818182,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,261551.3645,DEX,0
0x89d0ae4dc1743598a540c4e33917efdce24338723b0fabf34813b79cb0ecf4c5,2021-11-02 13:59:59 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0xb652fc42e12828f3f1b3e96283b199e62ec570db,1,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,1.000843028,Smart Contract,0
0x89d0ae4dc1743598a540c4e33917efdce24338723b0fabf34813b79cb0ecf4c5,2021-11-02 13:59:59 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x8dde0a1481b4a14bc1015a5a8b260ef059e9fd89,0.1,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,0.100084303,DEX,0
0x89d0ae4dc1743598a540c4e33917efdce24338723b0fabf34813b79cb0ecf4c5,2021-11-02 13:59:59 +0000,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,0x8dde0a1481b4a14bc1015a5a8b260ef059e9fd89,232509.1316,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ERC20,232705.1434,DEX,0
