Case Name,User ID,Hacker,Activity with Assets ID,Activity with Asset Time,Number of Transactions Before Activity with Asset,Mixer Activity,Anonymous Activity,Mixer Transaction #,Amount from Mixer,Suspicious Activity (3rd Party),Number of Incoming Transactions,Number of Outgoing Transactions,Total Amount [USD] In,Total Amount [USD] Out,First Activity Time,First Incoming Time [Date],First Outgoing Time [Date],STD of Time Diff Outgoing,STD of Time Diff Incoming,Number of Unique Tokens,Create Smart Contract,
Akropolis001,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,Yes,0xe2307837524db8961c4541f943598654240bd62f,2020-11-12 12:04:41 +0000,2,Yes,Tornado Cash,0xd5c2b9a82202392c3f25ff44e10d7b0e970c1458efdcc6e65b9280316bd838bd,9.885,Yes,1,1,,,2020-11-12 10:18:37 +0000,2020-11-12 10:18:37 +0000,2020-11-12 11:47:44 +0000,,,,No,
AlphaFinance001,0x905315602Ed9a854e325F692FF82F58799BEaB57,Yes,0x560a8e3b79d23b0a525e15c6f3486c6a293ddad2,2021-02-13 06:15:28 +0000,2,Yes,Tornado Cash,0x1afd15db273d6e54fdf67d74f8cc8c37d5fbf4442dac892ca50815c460c9cc47,9.94264,Yes,1,1,,,2021-02-12 08:55:53 +0000,2021-02-12 08:55:53 +0000,2021-02-13 05:59:41 +0000,,,,Yes,
AnySwap001,0x6c7007bec2681fd65f02e865a23f61870b3f7dda,Yes,0x7ea2be2df7ba6e54b1a9c70676f668455e329d29,2021-07-10 20:13:04 +0000,0,No,,,,No,0,0,,,2021-07-10 20:13:04 +0000,2021-12-05 02:57:44 +0000,2021-12-05 03:20:28 +0000,,,,No,
AnySwap001,0xbACDaA976Ee6D7466eA7490D8B4356bBa070f6fC,No,0x7ea2be2df7ba6e54b1a9c70676f668455e329d29,2021-07-16 12:09:54 +0000,1,No,,,,No,1,0,,,2021-07-16 12:09:54 +0000,2021-07-16 12:08:21 +0000,2021-07-16 12:09:54 +0000,,,,No,
BadgerDao,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,Yes,0x53461e4fddcc1385f1256ae24ce3505be664f249,2021-12-02 00:00:23 +0000,12,No,Normal Wallet,0x3ef9043c3d029dfa623bb71ed17f59368b964aa140fd249c7d795edea3f9d47d,5,Yes,12,0,,,2018-11-25 12:57:09 +0000,2018-11-25 12:57:09 +0000,2021-12-02 00:07:43 +0000,,,,No,
Brinc Finance001,0x6b0b61323f6d77ef8a1a35d11fa877631d8f67bb,Yes,0x7bff1fc001054c4ffff4e9117415112e07212a4e,2021-12-14 02:11:48 +0000,1,No,Normal Wallet,0xc95e14ea17062bc04bd824fff995a110e07f67ea25c14b2c298768c6bb0c4944,0.5,Yes,1,0,,,2021-12-14 02:02:48 +0000,2021-12-14 02:02:48 +0000,2021-12-14 02:11:48 +0000,,,,No,
Brinc Finance001,0xEa63A70406a8cEB6Ce30Bd3180085a199EAd6dBE,No,0x7bff1fc001054c4ffff4e9117415112e07212a4e,2021-11-30 06:55:17 +0000,65,No,,,,No,35,30,,,2021-05-13 19:26:04 +0000,2021-05-13 19:26:04 +0000,2021-07-02 21:15:37 +0000,,,,No,
DAOMaker,0x2708cace7b42302af26f1ab896111d87faeff92f,Yes,0xdd571023d95ff6ce5716bf112ccb752e86212167,2021-09-03 20:27:19 +0000,2,Yes,Tornado Cash,0xe10ff2e2ba0530676ab8388a32308f587cd68b48f2d58e552f3634008552c437,0.93945,Yes,1,1,,,2021-09-03 20:27:19 +0000,2021-09-03 20:27:19 +0000,2021-09-03 20:40:29 +0000,,,,No,
DAOMaker,0x89d0E88d93e1D272E0B2eEc326D6752C6D8e618a,No,0xdd571023d95ff6ce5716bf112ccb752e86212167,2021-08-03 12:02:07 +0000,203,No,,,,No,71,132,,,2021-04-13 11:11:47 +0000,2021-04-13 11:11:47 +0000,2021-04-13 16:59:03 +0000,,,,No,
Formation001,0x89640eb6c8d72606d6a0fff45415bff0ab0e3ae1,Yes,0xb5aef637d77648c4b937d1be5f6a036f52b1711e,2021-11-23 08:18:28 +0000,2,Yes,Tornado Cash,0xf9e0c456ceac33b94689253ac8c78c379da94b831fb8b9679d99ac01bd2336a3,0.9763869,Yes,1,1,,,2021-09-30 06:58:23 +0000,2021-09-30 06:58:23 +0000,2021-09-30 07:18:47 +0000,,,,No,
MonoXfinance,0x8f6a86f3ab015f4d03ddb13abb02710e6d7ab31b,Yes,0xf079d7911c13369e7fd85607970036d2883afcfd,2021-11-30 13:27:51 +0000,0,No,,,,No,0,0,,,2021-11-30 13:27:51 +0000,2021-11-30 13:27:51 +0000,2021-12-01 05:37:52 +0000,,,,No,
SaddleFiannce,0x63341ba917de90498f3903b199df5699b4a55ac0,Yes,0x7336f819775b1d31ea472681d70ce7a903482191,2022-04-30 07:40:24 +0000,1,Yes,Tornado Cash,0xfc5fb681f54ceb4b0b9db4fcb38204dee7ca89f5cde0ba94179bf1fae563d7db,0.9746665,Yes,1,0,,,2022-04-30 07:35:50 +0000,2022-04-30 07:35:50 +0000,2022-04-30 07:42:06 +0000,,,,No,
