Transaction ID,Transaction Time,Sender ID,Receiver ID,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Receiver Type,Label
0x730b639cd6e6bdf4460a3f409c1aefcc186fd67f163a39c00c96466f3a0900cc,2020-07-26 10:37:46 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x989aeb4d175e16225e39e87d0d97a3360524ad80,941.9755711,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,100,Smart Contract,0
0xd64092f765f423fb398e87e2454363753910e181b921dd5e0a7b2ba378d0a8f0,2021-09-22 18:47:59 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x989aeb4d175e16225e39e87d0d97a3360524ad80,9459.733653,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,9459.733653,Smart Contract,0
0xf942f809c812ee77e4114109eb4ef736908c7fb9640e2a408f9942695f6fa37e,2022-06-22 09:17:35 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x989aeb4d175e16225e39e87d0d97a3360524ad80,0.394822918,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,ERC20,0.394822918,Wallet,0
0xf942f809c812ee77e4114109eb4ef736908c7fb9640e2a408f9942695f6fa37e,2021-08-22 09:17:35 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x3cf628d49ae46b49b210f0521fbd9f82b461a9e1,13033.01622,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,13033.01622,Wallet,0
0x9db93f2843e7feb8b02dbc4bd9968ac03463fb094b9947cd09e72ca069003ac1,2021-01-20 16:52:49 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x989aeb4d175e16225e39e87d0d97a3360524ad80,2730237.606,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,2000,Smart Contract,0
0x72b3c8d3c34d4fd9e771b460b708b1379ae22f15f36e65d6ed4eac525a3bac31,2020-06-18 15:21:44 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x05296c03e59bb7a2fb0920e47a18044bab1ff632,0.520259974,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,ERC20,0.520259974,Wallet,0
0x72b3c8d3c34d4fd9e771b460b708b1379ae22f15f36e65d6ed4eac525a3bac31,2022-06-18 15:21:44 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x05296c03e59bb7a2fb0920e47a18044bab1ff632,11476.44256,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,11476.44256,Wallet,0
0xd8049cea7e9f466171c5dafc57786fac3f02dfd01272579ca7b7ebce5765f867,2022-01-18 07:28:33 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x9521f77aa4f5f3dd5c4b2da897c13b0c3d4e9791,0.049357742,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,ERC20,0.049357742,Wallet,0
0xd8049cea7e9f466171c5dafc57786fac3f02dfd01272579ca7b7ebce5765f867,2017-06-18 07:28:33 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x9521f77aa4f5f3dd5c4b2da897c13b0c3d4e9791,2032.338905,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,5000,Wallet,0
0xb638815a9fb8ac8026946b16b7b1232aedb2cb829a5a239a0ac134a76bf34cda,2022-06-17 12:24:29 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x8d38c81b7be9dbe7440d66b92d4ef529806baae7,236915.1362,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,236915.1362,Wallet,0
0xc8c1ddff94c313579b398904810240aced9dee49afbf399b3e68e796d379d945,2020-06-17 12:23:21 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x8d38c81b7be9dbe7440d66b92d4ef529806baae7,9.24212178,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,ERC20,9.24212178,Wallet,0
0xef38f0c9170cd686eb0483d69a423226be51adb9bc046cf01e51b2a74309d8d3,2021-06-16 22:22:20 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0xf235aed70299ed0b8fc3f9a886032f5aabf60338,6.965893362,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,ERC20,6.965893362,Wallet,0
0xef38f0c9170cd686eb0483d69a423226be51adb9bc046cf01e51b2a74309d8d3,2020-02-16 22:22:20 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0xf235aed70299ed0b8fc3f9a886032f5aabf60338,153661.0139,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,3657,Wallet,0
0x3e49a00a935cd288a2e471ca2be6137a84dab924e4d6501e26ffcb4019ff6f1a,2021-06-15 23:44:29 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x427e27356ef26855c13c6badd1f771e1c14a93a2,3157.805486,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,3157.805486,Wallet,0
0xdc552229f5bd25c411b1bf51d19f5b40809094306b8790e34ba5ad3ef28be56c,2015-01-15 17:05:58 +0000,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0x989aeb4d175e16225e39e87d0d97a3360524ad80,412607.8843,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,ERC20,412607.8843,Smart Contract,0
