Transaction ID,Transaction Time,Sender ID,Receiver ID,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Receiver Type,Label
0xb1,2021-10-30 23:56:38 +0000,a1,u1,17.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,1,Wallet,1
0xb1,2021-10-30 23:56:38 +0001,a1,u1,18.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC21,2,Smart Contract,0
0xb1,2021-10-30 23:56:38 +0002,a1,u1,19.92414551,CUR2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ERC22,3,Smart Contract,0
0xb1,2021-10-30 23:56:38 +0003,a1,u2,1.80043876,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC23,4,Wallet,0
0xb1,2021-10-30 23:56:38 +0004,a1,u2,1.70043876,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC24,5,Wallet,0
0xb1,2021-10-30 23:56:38 +0005,a1,u3,475980.4624,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC25,6,Wallet,0
0xb1,2021-10-30 23:56:38 +0006,a1,u3,475980.4624,CUR2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ERC26,7,Smart Contract,0
0xb1,2021-10-30 23:56:38 +0007,a1,u3,475980.4624,CUR3,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d9,ERC27,8,Smart Contract,0
0xb9,2021-10-30 23:56:38 +0008,a1,u3,475980.4624,CUR4,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d10,ERC28,9,Smart Contract,0
0xb2,2021-10-30 23:56:38 +0000,a1,u1,17.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,10,Wallet,0
0xb2,2021-10-30 23:56:38 +0001,a1,u1,18.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC21,11,Smart Contract,0
0xb2,2021-10-30 23:56:38 +0002,a1,u1,19.92414551,CUR2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ERC22,12,Smart Contract,0
0xb2,2021-10-30 23:56:38 +0003,a1,u2,1.80043876,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC23,13,Wallet,0
0xb2,2021-10-30 23:56:38 +0004,a1,u2,1.70043876,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC24,14,Wallet,0
0xb2,2021-10-30 23:56:38 +0005,a1,u3,475980.4624,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC25,15,Wallet,0
0xb2,2021-10-30 23:56:38 +0006,a1,u3,475980.4624,CUR2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ERC26,16,Smart Contract,0
0xb2,2021-10-30 23:56:38 +0007,a1,u3,475980.4624,CUR3,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d9,ERC27,17,Smart Contract,0
0xb9,2021-10-30 23:56:38 +0008,a1,u3,475980.4624,CUR4,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d10,ERC28,18,Smart Contract,0
