File Names,Exploit Types,train/test splits
0xhabitat001,Phishing,
AnySwap001,Access Control,Valication
Audius,Access Control,Valication
Bacon_Protocol001,Flash Loan Attack,Test
BalancerLabs001,Flash Loan Attack,
Bancor001,Access Control,Valication
BentFinance001,Access Control,Valication
BiFinance001,Access Control,Valication
Brahma_Finance002,Access Control,Train
Brahma_Finance003,Access Control,Train
BrincFinance001,Access Control,Train
ChainSwap001,Access Control,Train
Cheese001,Flash Loan Attack,Validation
Cheese002,Flash Loan Attack,Validation
Cheese003,Flash Loan Attack,Validation
Cream_Finance001,Flash Loan Attack,Train
Cream_Finance002,Flash Loan Attack,Train
Cream_Finance003,Flash Loan Attack,Train
Cream_Finance005,Flash Loan Attack,Train
Cream_Finance006,Flash Loan Attack,Train
Cream_Finance008,Flash Loan Attack,Train
Cream_Finance010,Flash Loan Attack,Train
Cream_Finance011,Flash Loan Attack,Train
Cream_Finance012,Flash Loan Attack,Train
Cream_Finance013,Flash Loan Attack,Train
Cream_Finance014,Flash Loan Attack,Train
Curve_Finance001,Phishing,
Curve_Finance002,Phishing,
Curve_Finance003,Phishing,
DAOMaker2003,Access Control,Train
DAOMaker2004,Access Control,Train
DEGO001,Access Control,Valication
Depo001,Access Control,Train
Depo002,Access Control,Train
Depo003,Access Control,Train
Dfx001,Re-Entrancy,
DistX001,Rug pull,Train
dxHub001,Rug pull,Validation
FeiProtocol001,Re-Entrancy,
FeiProtocol002,Re-Entrancy,
Focus001,Rug pull,Validation
HarmonyBridge002,Access Control,Valication
HarvestFinance001,Flash Loan Attack,Train
Holy001,Rug pull,Validation
Impermax_Finance001,Access Control,Valication
IndexFinance001,Flash Loan Attack,Train
Liquid003,Access Control,Test
Lympo001,Access Control,Train
Lympo003,Access Control,Train
MerkleTreeVentures001,Access Control,Test
MochaSetDollar001,Rug pull,Test
MonoX001,Price Manupilation,
NowSwap001,Access Control,Test
Olympus_Hack,Access Control,Train
Omni Bridge001,Access Control,Test
Opyn001,Access Control,Train
Pando001,Access Control,Test
Peak_Defi001,Access Control,Train
POKeFARM001,Rug pull,Train
Profanity_Wallet001,Access Control,Train
QAN_Platform001,Access Control,Train
RBaseFinance001,Rug pull,Train
RBaseFinance002,Rug pull,Train
Reflation001,Rug pull,Train
Saddle_Finance2001,Access Control,Train
SNOOD001,Rug pull,Train
Stazie001,Access Control,Train
SushiSwap001,Access Control,Train
SynLev001,Rug pull,Train
SynLev002,Rug pull,Train
Tecra001,Access Control,Train
UniCat,Rug pull,Train
Upbit004,Access Control,Train
Upbit005,Access Control,Train
Upbit006,Access Control,Train
Upbit007,Access Control,Train
Upbit008,Access Control,Train
Upbit009,Access Control,Train
Vesperi001,Price Manupilation,
Vesperi002,Price Manupilation,
Vesperi003,Price Manupilation,
Vesperi004,Price Manupilation,
Vesperi005,Price Manupilation,
Warp001,Flash Loan Attack,Train
Warp002,Flash Loan Attack,Train
XToken001,Flash Loan Attack,Validation
