file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link
Agora001.csv,0,1,12868,1,train,Flash Loan Attack,06/04/2022 4:17,Train,"https://halborn.com/explained-the-starstream-and-agora-hack-april-2022/#:~:text=In%20April%202022%2C%20the%20Starstream,out%20large%20loans%20from%20Agora."
Agora002.csv,1,2105,10948,1,train,Flash Loan Attack,01/03/2022 21:58,Train,"https://halborn.com/explained-the-starstream-and-agora-hack-april-2022/#:~:text=In%20April%202022%2C%20the%20Starstream,out%20large%20loans%20from%20Agora."
Akropolis001.csv,0,2,19,1,train,Flash Loan Attack,12/11/2020 11:47,Train,https://www.zdnet.com/article/hacker-steals-2-million-from-cryptocurrency-service-akropolis/
AnySwap001.csv,1,1014,21126,0,train,Access Control,01/07/2021 9:51,Train,https://www.zdnet.com/article/multichain-token-hack-losses-reach-3-million-report/
Audius.csv,0,0,4,1,train,Access Control,07/05/2021 23:33,Train,https://blog.audius.co/article/audius-governance-takeover-post-mortem-7-23-22
Bacon_Protocol001.csv,1,15,337,0,train,Flash Loan Attack,29/07/2021 18:00,Train,https://defiyield.app/rekt-database/bacon_protocol
BadgerDAO001.csv,1,22,104,0,train,Access Control,27/05/2021 21:39,Train,https://www.coindesk.com/business/2021/12/10/badgerdao-reveals-details-of-how-it-was-hacked-for-120m/
BadgerDAO002.csv,4,454,2422,0,train,Access Control,07/05/2021 23:25,Train,https://www.coindesk.com/business/2021/12/10/badgerdao-reveals-details-of-how-it-was-hacked-for-120m/
Bancor001.csv,2,96,482,0,train,Access Control,10/06/2017 14:27,Train,https://www.apriorit.com/dev-blog/554-bancor-exchange-hack
BasketDAO001.csv,0,2,24,5,train,Access Control,11/07/2021 21:10,Train,https://basketdao.medium.com/basketdao-peripheral-exploit-incident-6f404c5c1a9a
BiFinance001.csv,1,478,1056,0,train,Access Control,07/01/2021 4:08,Train,
Bifrost001.csv,1,467,1016,0,train,Access Control,07/01/2021 5:32,Train,https://halborn.com/explained-the-bifi-hack-july-2022/
Bilaxy001.csv,297,1264,23350,0,train,Access Control,28/04/2021 4:49,Train,https://blog.merklescience.com/hacktrack/hack-track-analysis-of-the-bilaxy-exchange-hack
Bitmart001.csv,83,674,24159,0,train,Access Control,21/11/2021 19:18,Train,https://blog.merklescience.com/hacktrack/hack-track-analysis-on-bitmart-hack
Bo_Shen001.csv,1,8,134,1,train,Access Control,30/11/2016 12:41,Train,https://defiyield.app/rekt-database/bo_shen
Brahma_Finance001.csv,0,4,93,1,train,Access Control,11/09/2021 17:58,Train,https://defiyield.app/rekt-database/brahma
Brahma_Finance002.csv,0,1,33,1,train,Access Control,27/03/2021 9:37,Train,https://defiyield.app/rekt-database/brahma
Brahma_Finance003.csv,0,0,26,1,train,Access Control,12/07/2022 11:50,Train,https://defiyield.app/rekt-database/brahma
ChainSwap001.csv,5,9,679,1,train,Access Control,18/03/2021 14:45,Train,https://halborn.com/explained-the-chainswap-hack-july-2021/
ChainSwap002.csv,6,6,230,1,train,Access Control,12/05/2021 10:49,Train,https://halborn.com/explained-the-chainswap-hack-july-2021/
ChainSwap006.csv,1,16,292,0,train,Access Control,02/06/2021 16:40,Train,https://halborn.com/explained-the-chainswap-hack-july-2021/
Coinbene001.csv,111,71,24818,0,train,Access Control,13/03/2019 13:04,Train,https://cointelegraph.com/news/over-100-million-missing-coinbene-claims-maintenance-a-month-of-questions-point-toward-a-hack
Coinbene002.csv,0,3,134,20,train,Access Control,25/03/2019 23:59,Train,https://cointelegraph.com/news/over-100-million-missing-coinbene-claims-maintenance-a-month-of-questions-point-toward-a-hack
Coinrail001.csv,1,717,24280,2,train,Access Control,07/06/2018 5:34,Train,https://www.coindesk.com/markets/2018/06/11/coinrail-exchange-hacked-loses-possibly-40-million-in-cryptos/
CompounderFinance001.csv,0,0,25,1,train,Rug pull,23/11/2020 6:05,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/
CompounderFinance004.csv,0,1,12,1,train,Rug pull,21/11/2020 22:40,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/
CompounderFinance005.csv,0,0,2,1,train,Rug pull,01/12/2020 7:36,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/
CompounderFinance006.csv,0,1,18,1,train,Rug pull,14/11/2020 2:37,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/
CompounderFinance007.csv,0,1,19,1,train,Rug pull,23/11/2020 6:05,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/
CompounderFinance008.csv,1,2797,11866,0,train,Rug pull,30/07/2020 6:54,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/
Cream_Finance001.csv,0,132,974,1,train,Flash Loan Attack,05/02/2021 23:31,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance002.csv,0,47,380,1,train,Flash Loan Attack,19/10/2020 16:47,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance003.csv,0,20,182,1,train,Flash Loan Attack,22/03/2021 11:03,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance004.csv,0,32,406,1,train,Flash Loan Attack,20/03/2021 7:57,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance005.csv,0,139,915,1,train,Flash Loan Attack,04/11/2020 12:24,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance006.csv,0,380,3986,1,train,Flash Loan Attack,17/09/2020 4:39,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance007.csv,0,1772,14913,1,train,Flash Loan Attack,02/08/2020 16:22,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance008.csv,0,1,29,1,train,Flash Loan Attack,03/08/2021 18:30,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance009.csv,0,954,7759,1,train,Flash Loan Attack,02/08/2020 16:21,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance010.csv,0,3,35,1,train,Flash Loan Attack,02/06/2021 8:47,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance011.csv,0,51,554,1,train,Flash Loan Attack,01/09/2020 17:13,Train,https://defiyield.app/rekt-database/cream_finance
Cream_Finance012.csv,0,0,34,1,train,Flash Loan Attack,08/09/2021 22:42,Train,https://defiyield.app/rekt-database/cream_finance
Cryptopia001.csv,100,3313,21587,0,train,Access Control,20/10/2018 18:01,Train,https://defiyield.app/rekt-database/cryptopia
Cryptopia002.csv,5,194,10300,0,train,Access Control,15/11/2018 21:31,Train,https://defiyield.app/rekt-database/cryptopia
Curve_Finance001.csv,0,13,141,1,train,Phishing,10/10/2019 22:08,Train,https://defiyield.app/rekt-database/curve.finance
Curve_Finance002.csv,0,1,26,1,train,Phishing,16/06/2022 8:39,Train,https://defiyield.app/rekt-database/curve.finance
Curve_Finance003.csv,0,45,279,1,train,Phishing,01/09/2021 5:20,Train,https://defiyield.app/rekt-database/curve.finance
