file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link,catch_any
Agora001.csv,1,415,12454,0,train,Flash Loan Attack,06/04/2022 4:17,Train,"https://halborn.com/explained-the-starstream-and-agora-hack-april-2022/#:~:text=In%20April%202022%2C%20the%20Starstream,out%20large%20loans%20from%20Agora.",True
Agora002.csv,2,1172,11881,0,train,Flash Loan Attack,01/03/2022 21:58,Train,"https://halborn.com/explained-the-starstream-and-agora-hack-april-2022/#:~:text=In%20April%202022%2C%20the%20Starstream,out%20large%20loans%20from%20Agora.",True
Akropolis001.csv,1,2,19,0,train,Flash Loan Attack,12/11/2020 11:47,Train,https://www.zdnet.com/article/hacker-steals-2-million-from-cryptocurrency-service-akropolis/,True
AnySwap001.csv,1,4533,17607,0,train,Access Control,01/07/2021 9:51,Train,https://www.zdnet.com/article/multichain-token-hack-losses-reach-3-million-report/,True
Audius.csv,0,0,4,1,train,Access Control,07/05/2021 23:33,Train,https://blog.audius.co/article/audius-governance-takeover-post-mortem-7-23-22,False
Bacon_Protocol001.csv,1,37,315,0,train,Flash Loan Attack,29/07/2021 18:00,Train,https://defiyield.app/rekt-database/bacon_protocol,True
BadgerDAO001.csv,1,24,102,0,train,Access Control,27/05/2021 21:39,Train,https://www.coindesk.com/business/2021/12/10/badgerdao-reveals-details-of-how-it-was-hacked-for-120m/,True
BadgerDAO002.csv,4,302,2574,0,train,Access Control,07/05/2021 23:25,Train,https://www.coindesk.com/business/2021/12/10/badgerdao-reveals-details-of-how-it-was-hacked-for-120m/,True
Bancor001.csv,2,187,391,0,train,Access Control,10/06/2017 14:27,Train,https://www.apriorit.com/dev-blog/554-bancor-exchange-hack,True
BasketDAO001.csv,1,8,18,4,train,Access Control,11/07/2021 21:10,Train,https://basketdao.medium.com/basketdao-peripheral-exploit-incident-6f404c5c1a9a,True
BiFinance001.csv,1,198,1336,0,train,Access Control,07/01/2021 4:08,Train,,True
Bifrost001.csv,1,187,1296,0,train,Access Control,07/01/2021 5:32,Train,https://halborn.com/explained-the-bifi-hack-july-2022/,True
Bilaxy001.csv,296,5505,19109,1,train,Access Control,28/04/2021 4:49,Train,https://blog.merklescience.com/hacktrack/hack-track-analysis-of-the-bilaxy-exchange-hack,True
Bitmart001.csv,82,8342,16491,1,train,Access Control,21/11/2021 19:18,Train,https://blog.merklescience.com/hacktrack/hack-track-analysis-on-bitmart-hack,True
Bo_Shen001.csv,1,21,121,1,train,Access Control,30/11/2016 12:41,Train,https://defiyield.app/rekt-database/bo_shen,True
Brahma_Finance001.csv,1,5,92,0,train,Access Control,11/09/2021 17:58,Train,https://defiyield.app/rekt-database/brahma,True
Brahma_Finance002.csv,1,0,34,0,train,Access Control,27/03/2021 9:37,Train,https://defiyield.app/rekt-database/brahma,True
Brahma_Finance003.csv,1,1,25,0,train,Access Control,12/07/2022 11:50,Train,https://defiyield.app/rekt-database/brahma,True
ChainSwap001.csv,6,0,688,0,train,Access Control,18/03/2021 14:45,Train,https://halborn.com/explained-the-chainswap-hack-july-2021/,True
ChainSwap002.csv,7,0,236,0,train,Access Control,12/05/2021 10:49,Train,https://halborn.com/explained-the-chainswap-hack-july-2021/,True
ChainSwap006.csv,1,29,279,0,train,Access Control,02/06/2021 16:40,Train,https://halborn.com/explained-the-chainswap-hack-july-2021/,True
Coinbene001.csv,111,5999,18890,0,train,Access Control,13/03/2019 13:04,Train,https://cointelegraph.com/news/over-100-million-missing-coinbene-claims-maintenance-a-month-of-questions-point-toward-a-hack,True
Coinbene002.csv,0,9,128,20,train,Access Control,25/03/2019 23:59,Train,https://cointelegraph.com/news/over-100-million-missing-coinbene-claims-maintenance-a-month-of-questions-point-toward-a-hack,False
Coinrail001.csv,3,4087,20910,0,train,Access Control,07/06/2018 5:34,Train,https://www.coindesk.com/markets/2018/06/11/coinrail-exchange-hacked-loses-possibly-40-million-in-cryptos/,True
