file_name,exp_part,exploit_type,sngl_mlt,tp,fp,tn,fn,catch_any
V3/0xhabitat001.csv,train,Phishing,multi,1,6,52,0,1
V3/Agora001.csv,train,Flash Loan Attack,single,0,12,12857,1,0
V3/Agora002.csv,train,Flash Loan Attack,multi,1,5,13048,1,1
V3/Akropolis001.csv,train,Flash Loan Attack,multi,0,1,487,17,0
V3/AnySwap001.csv,train,Access Control,single,1,367,17111,0,1
V3/AnySwap002.csv,train,Access Control,single,1,211,37698,0,1
V3/AscendEX001.csv,validation,Access Control,multi,90,29,3447,2,1
V3/Audius.csv,train,Access Control,single,0,0,4,1,0
V3/BalancerLabs001.csv,train,Flash Loan Attack,multi,1,3,8152,0,1
V3/Bancor001.csv,train,Access Control,multi,1,41,537,1,1
V3/BasketDAO001.csv,train,Access Control,multi,0,0,26,5,0
V3/BentFinance001.csv,validation,Access Control,multi,0,12,336,3,0
V3/BiFinance001.csv,train,Access Control,single,1,25,1509,0,1
V3/Bilaxy001.csv,train,Access Control,multi,294,322,24292,3,1
V3/Bitmart001.csv,train,Access Control,multi,82,430,24403,1,1
V3/Brahma_Finance001.csv,validation,Access Control,single,0,1,96,1,0
V3/Brahma_Finance002.csv,validation,Access Control,single,0,0,34,1,0
V3/Brahma_Finance003.csv,validation,Access Control,single,0,0,26,1,0
V3/BrincFinance001.csv,validation,Access Control,single,1,17,210,0,1
V3/ChainSwap001.csv,train,Access Control,multi,6,0,688,0,1
V3/ChainSwap002.csv,train,Access Control,multi,7,0,236,0,1
V3/ChainSwap006.csv,train,Access Control,multi,1,20,288,0,1
V3/CoinSWOP001.csv,train,Rug pull,multi,0,0,11,12,0
V3/Coinbene001.csv,train,Access Control,multi,110,3,24886,1,1
V3/Coinbene002.csv,train,Access Control,multi,0,1,136,20,0
V3/Coinrail001.csv,train,Access Control,multi,11,719,52912,0,1
V3/CompounderFinance001.csv,train,Rug pull,single,1,0,25,0,1
V3/CompounderFinance004.csv,train,Rug pull,single,1,0,13,0,1
V3/CompounderFinance005.csv,train,Rug pull,single,0,0,2,1,0
V3/CompounderFinance006.csv,train,Rug pull,single,1,0,19,0,1
V3/CompounderFinance007.csv,train,Rug pull,single,1,0,20,0,1
V3/CompounderFinance008.csv,train,Rug pull,single,1,311,14352,0,1
V3/Cream_Finance001.csv,train,Flash Loan Attack,single,1,5,1101,0,1
V3/Cream_Finance002.csv,train,Flash Loan Attack,single,1,5,422,0,1
V3/Cream_Finance003.csv,train,Flash Loan Attack,single,1,2,200,0,1
V3/Cream_Finance004.csv,train,Flash Loan Attack,single,1,1,437,0,1
V3/Cream_Finance005.csv,train,Flash Loan Attack,single,1,14,1040,0,1
V3/Cream_Finance006.csv,train,Flash Loan Attack,single,1,24,4342,0,1
V3/Cream_Finance007.csv,train,Flash Loan Attack,single,1,117,16568,0,1
